credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
Federal Travel 2,premium_points,online_cashback,5.35,shopping,Federal Bank,3268,Federal Travel 2,credit_card,3268.0,Federal Travel 2 premium_points online_cashback shopping Federal Bank 5.35 annual fee 3268,cashback points premium premium_fee shopping travel,Federal Travel 2 premium_points online_cashback shopping Federal Bank 5.35 annual fee 3268 cashback points premium premium_fee shopping travel premium_points online_cashback shopping Federal Bank
IndusInd Legend 3,premium_points,golf_membership,5.46,dining,IndusInd Bank,9786,IndusInd Legend 3,credit_card,9786.0,IndusInd Legend 3 premium_points golf_membership dining IndusInd Bank 5.46 annual fee 9786,discounts points premium premium_fee,IndusInd Legend 3 premium_points golf_membership dining IndusInd Bank 5.46 annual fee 9786 discounts points premium premium_fee premium_points golf_membership dining IndusInd Bank
Canara Smart 1,cashback,accelerated_rewards,0.9,business,Canara Bank,609,Canara Smart 1,credit_card,609.0,Canara Smart 1 cashback accelerated_rewards business Canara Bank 0.9 annual fee 609,business cashback moderate_fee,Canara Smart 1 cashback accelerated_rewards business Canara Bank 0.9 annual fee 609 business cashback moderate_fee cashback accelerated_rewards business Canara Bank
Airtel Premium,dining_rewards,insurance_coverage,3.33,travel,Airtel Payments Bank,1960,Airtel Premium,credit_card,1960.0,Airtel Premium dining_rewards insurance_coverage travel Airtel Payments Bank 3.33 annual fee 1960,discounts premium premium_fee travel,Airtel Premium dining_rewards insurance_coverage travel Airtel Payments Bank 3.33 annual fee 1960 discounts premium premium_fee travel dining_rewards insurance_coverage travel Airtel Payments Bank
HDFC Diners 1,travel_points,milestone_rewards,3.9,online_spends,HDFC Bank,1495,HDFC Diners 1,credit_card,1495.0,HDFC Diners 1 travel_points milestone_rewards online_spends HDFC Bank 3.9 annual fee 1495,points premium_fee shopping travel,HDFC Diners 1 travel_points milestone_rewards online_spends HDFC Bank 3.9 annual fee 1495 points premium_fee shopping travel travel_points milestone_rewards online_spends HDFC Bank
Federal Signature,travel_points,welcome_bonus,4.89,shopping,Federal Bank,4688,Federal Signature,credit_card,4688.0,Federal Signature travel_points welcome_bonus shopping Federal Bank 4.89 annual fee 4688,points premium premium_fee shopping travel,Federal Signature travel_points welcome_bonus shopping Federal Bank 4.89 annual fee 4688 points premium premium_fee shopping travel travel_points welcome_bonus shopping Federal Bank
ICICI Merchant,cashback,movie_discounts,0.97,online_spends,ICICI Bank,2532,ICICI Merchant,credit_card,2532.0,ICICI Merchant cashback movie_discounts online_spends ICICI Bank 0.97 annual fee 2532,cashback discounts premium_fee shopping,ICICI Merchant cashback movie_discounts online_spends ICICI Bank 0.97 annual fee 2532 cashback discounts premium_fee shopping cashback movie_discounts online_spends ICICI Bank
IDFC FIRST Travel 2,fuel_rewards,concierge_service,4.24,fuel,IDFC First Bank,6370,IDFC FIRST Travel 2,credit_card,6370.0,IDFC FIRST Travel 2 fuel_rewards concierge_service fuel IDFC First Bank 4.24 annual fee 6370,fuel premium_fee travel,IDFC FIRST Travel 2 fuel_rewards concierge_service fuel IDFC First Bank 4.24 annual fee 6370 fuel premium_fee travel fuel_rewards concierge_service fuel IDFC First Bank
Union Elite,travel_points,online_cashback,4.88,fuel,Union Bank of India,9706,Union Elite,credit_card,9706.0,Union Elite travel_points online_cashback fuel Union Bank of India 4.88 annual fee 9706,cashback fuel points premium_fee shopping travel,Union Elite travel_points online_cashback fuel Union Bank of India 4.88 annual fee 9706 cashback fuel points premium_fee shopping travel travel_points online_cashback fuel Union Bank of India
ICICI MakeMyTrip 1,travel_points,online_cashback,3.88,luxury,ICICI Bank,1363,ICICI MakeMyTrip 1,credit_card,1363.0,ICICI MakeMyTrip 1 travel_points online_cashback luxury ICICI Bank 3.88 annual fee 1363,cashback points premium_fee shopping travel,ICICI MakeMyTrip 1 travel_points online_cashback luxury ICICI Bank 3.88 annual fee 1363 cashback points premium_fee shopping travel travel_points online_cashback luxury ICICI Bank
Federal Plus 2,fuel_rewards,fuel_surcharge_waiver,3.13,online_spends,Federal Bank,5583,Federal Plus 2,credit_card,5583.0,Federal Plus 2 fuel_rewards fuel_surcharge_waiver online_spends Federal Bank 3.13 annual fee 5583,fuel premium_fee shopping,Federal Plus 2 fuel_rewards fuel_surcharge_waiver online_spends Federal Bank 3.13 annual fee 5583 fuel premium_fee shopping fuel_rewards fuel_surcharge_waiver online_spends Federal Bank
ICICI MakeMyTrip,premium_points,insurance_coverage,3.98,luxury,ICICI Bank,7634,ICICI MakeMyTrip,credit_card,7634.0,ICICI MakeMyTrip premium_points insurance_coverage luxury ICICI Bank 3.98 annual fee 7634,points premium premium_fee,ICICI MakeMyTrip premium_points insurance_coverage luxury ICICI Bank 3.98 annual fee 7634 points premium premium_fee premium_points insurance_coverage luxury ICICI Bank
Yes Reserve 4,premium_points,golf_membership,5.21,business,Yes Bank,8816,Yes Reserve 4,credit_card,8816.0,Yes Reserve 4 premium_points golf_membership business Yes Bank 5.21 annual fee 8816,business points premium premium_fee,Yes Reserve 4 premium_points golf_membership business Yes Bank 5.21 annual fee 8816 business points premium premium_fee premium_points golf_membership business Yes Bank
RBL Business Ultra 1,premium_points,dining_discounts,5.76,fuel,RBL Bank,9197,RBL Business Ultra 1,credit_card,9197.0,RBL Business Ultra 1 premium_points dining_discounts fuel RBL Bank 5.76 annual fee 9197,business discounts fuel points premium premium_fee,RBL Business Ultra 1 premium_points dining_discounts fuel RBL Bank 5.76 annual fee 9197 business discounts fuel points premium premium_fee premium_points dining_discounts fuel RBL Bank
Kotak Urban,travel_points,dining_discounts,3.52,groceries,Kotak Mahindra,1325,Kotak Urban,credit_card,1325.0,Kotak Urban travel_points dining_discounts groceries Kotak Mahindra 3.52 annual fee 1325,discounts points premium_fee travel,Kotak Urban travel_points dining_discounts groceries Kotak Mahindra 3.52 annual fee 1325 discounts points premium_fee travel travel_points dining_discounts groceries Kotak Mahindra
IDFC FIRST Exclusive,dining_rewards,accelerated_rewards,3.02,business,IDFC First Bank,4542,IDFC FIRST Exclusive,credit_card,4542.0,IDFC FIRST Exclusive dining_rewards accelerated_rewards business IDFC First Bank 3.02 annual fee 4542,business discounts premium_fee,IDFC FIRST Exclusive dining_rewards accelerated_rewards business IDFC First Bank 3.02 annual fee 4542 business discounts premium_fee dining_rewards accelerated_rewards business IDFC First Bank
Kotak Emerald,fuel_rewards,insurance_coverage,3.89,dining,Kotak Mahindra,4545,Kotak Emerald,credit_card,4545.0,Kotak Emerald fuel_rewards insurance_coverage dining Kotak Mahindra 3.89 annual fee 4545,discounts fuel premium_fee,Kotak Emerald fuel_rewards insurance_coverage dining Kotak Mahindra 3.89 annual fee 4545 discounts fuel premium_fee fuel_rewards insurance_coverage dining Kotak Mahindra
Axis Ace,travel_points,airport_lounge_access,4.48,travel,Axis Bank,6841,Axis Ace,credit_card,6841.0,Axis Ace travel_points airport_lounge_access travel Axis Bank 4.48 annual fee 6841,points premium premium_fee travel,Axis Ace travel_points airport_lounge_access travel Axis Bank 4.48 annual fee 6841 points premium premium_fee travel travel_points airport_lounge_access travel Axis Bank
BOB Travel 1,cashback,online_cashback,0.87,shopping,Bank of Baroda,1252,BOB Travel 1,credit_card,1252.0,BOB Travel 1 cashback online_cashback shopping Bank of Baroda 0.87 annual fee 1252,cashback premium_fee shopping travel,BOB Travel 1 cashback online_cashback shopping Bank of Baroda 0.87 annual fee 1252 cashback premium_fee shopping travel cashback online_cashback shopping Bank of Baroda
Union Rewards,shopping_rewards,airport_lounge_access,1.63,dining,Union Bank of India,6913,Union Rewards,credit_card,6913.0,Union Rewards shopping_rewards airport_lounge_access dining Union Bank of India 1.63 annual fee 6913,discounts premium premium_fee shopping,Union Rewards shopping_rewards airport_lounge_access dining Union Bank of India 1.63 annual fee 6913 discounts premium premium_fee shopping shopping_rewards airport_lounge_access dining Union Bank of India
Union Privilege 8,fuel_rewards,golf_membership,2.68,travel,Union Bank of India,1718,Union Privilege 8,credit_card,1718.0,Union Privilege 8 fuel_rewards golf_membership travel Union Bank of India 2.68 annual fee 1718,fuel premium_fee travel,Union Privilege 8 fuel_rewards golf_membership travel Union Bank of India 2.68 annual fee 1718 fuel premium_fee travel fuel_rewards golf_membership travel Union Bank of India
IndusInd Merchant 2,travel_points,grocery_cashback,3.72,luxury,IndusInd Bank,6797,IndusInd Merchant 2,credit_card,6797.0,IndusInd Merchant 2 travel_points grocery_cashback luxury IndusInd Bank 3.72 annual fee 6797,cashback points premium_fee travel,IndusInd Merchant 2 travel_points grocery_cashback luxury IndusInd Bank 3.72 annual fee 6797 cashback points premium_fee travel travel_points grocery_cashback luxury IndusInd Bank
SBI Cashback 2,fuel_rewards,movie_discounts,4.34,online_spends,SBI,4699,SBI Cashback 2,credit_card,4699.0,SBI Cashback 2 fuel_rewards movie_discounts online_spends SBI 4.34 annual fee 4699,cashback discounts fuel premium_fee shopping,SBI Cashback 2 fuel_rewards movie_discounts online_spends SBI 4.34 annual fee 4699 cashback discounts fuel premium_fee shopping fuel_rewards movie_discounts online_spends SBI
IndusInd Legend 2,fuel_rewards,priority_checkout,3.81,travel,IndusInd Bank,7093,IndusInd Legend 2,credit_card,7093.0,IndusInd Legend 2 fuel_rewards priority_checkout travel IndusInd Bank 3.81 annual fee 7093,fuel premium_fee travel,IndusInd Legend 2 fuel_rewards priority_checkout travel IndusInd Bank 3.81 annual fee 7093 fuel premium_fee travel fuel_rewards priority_checkout travel IndusInd Bank
Federal Plus 1,shopping_rewards,grocery_cashback,2.84,travel,Federal Bank,4922,Federal Plus 1,credit_card,4922.0,Federal Plus 1 shopping_rewards grocery_cashback travel Federal Bank 2.84 annual fee 4922,cashback premium_fee shopping travel,Federal Plus 1 shopping_rewards grocery_cashback travel Federal Bank 2.84 annual fee 4922 cashback premium_fee shopping travel shopping_rewards grocery_cashback travel Federal Bank
Yes Reserve 3,shopping_rewards,accelerated_rewards,2.9,shopping,Yes Bank,6477,Yes Reserve 3,credit_card,6477.0,Yes Reserve 3 shopping_rewards accelerated_rewards shopping Yes Bank 2.9 annual fee 6477,premium_fee shopping,Yes Reserve 3 shopping_rewards accelerated_rewards shopping Yes Bank 2.9 annual fee 6477 premium_fee shopping shopping_rewards accelerated_rewards shopping Yes Bank
IDFC FIRST Digital 2,fuel_rewards,insurance_coverage,2.1,luxury,IDFC First Bank,5740,IDFC FIRST Digital 2,credit_card,5740.0,IDFC FIRST Digital 2 fuel_rewards insurance_coverage luxury IDFC First Bank 2.1 annual fee 5740,fuel premium_fee,IDFC FIRST Digital 2 fuel_rewards insurance_coverage luxury IDFC First Bank 2.1 annual fee 5740 fuel premium_fee fuel_rewards insurance_coverage luxury IDFC First Bank
Axis Vistara 1,dining_rewards,milestone_rewards,3.24,fuel,Axis Bank,2341,Axis Vistara 1,credit_card,2341.0,Axis Vistara 1 dining_rewards milestone_rewards fuel Axis Bank 3.24 annual fee 2341,discounts fuel premium_fee travel,Axis Vistara 1 dining_rewards milestone_rewards fuel Axis Bank 3.24 annual fee 2341 discounts fuel premium_fee travel dining_rewards milestone_rewards fuel Axis Bank
Axis Vistara 3,dining_rewards,golf_membership,3.2,luxury,Axis Bank,5299,Axis Vistara 3,credit_card,5299.0,Axis Vistara 3 dining_rewards golf_membership luxury Axis Bank 3.2 annual fee 5299,discounts premium_fee,Axis Vistara 3 dining_rewards golf_membership luxury Axis Bank 3.2 annual fee 5299 discounts premium_fee dining_rewards golf_membership luxury Axis Bank
BOB Premium 1,travel_points,dining_discounts,4.04,travel,Bank of Baroda,1682,BOB Premium 1,credit_card,1682.0,BOB Premium 1 travel_points dining_discounts travel Bank of Baroda 4.04 annual fee 1682,discounts points premium premium_fee travel,BOB Premium 1 travel_points dining_discounts travel Bank of Baroda 4.04 annual fee 1682 discounts points premium premium_fee travel travel_points dining_discounts travel Bank of Baroda
Yes Elite,shopping_rewards,movie_discounts,3.88,fuel,Yes Bank,4077,Yes Elite,credit_card,4077.0,Yes Elite shopping_rewards movie_discounts fuel Yes Bank 3.88 annual fee 4077,discounts fuel premium_fee shopping,Yes Elite shopping_rewards movie_discounts fuel Yes Bank 3.88 annual fee 4077 discounts fuel premium_fee shopping shopping_rewards movie_discounts fuel Yes Bank
Federal Exclusive 2,dining_rewards,online_cashback,2.69,business,Federal Bank,5373,Federal Exclusive 2,credit_card,5373.0,Federal Exclusive 2 dining_rewards online_cashback business Federal Bank 2.69 annual fee 5373,business cashback discounts premium_fee shopping,Federal Exclusive 2 dining_rewards online_cashback business Federal Bank 2.69 annual fee 5373 business cashback discounts premium_fee shopping dining_rewards online_cashback business Federal Bank
ICICI Amazon,dining_rewards,online_cashback,4.93,travel,ICICI Bank,3528,ICICI Amazon,credit_card,3528.0,ICICI Amazon dining_rewards online_cashback travel ICICI Bank 4.93 annual fee 3528,cashback discounts premium_fee shopping travel,ICICI Amazon dining_rewards online_cashback travel ICICI Bank 4.93 annual fee 3528 cashback discounts premium_fee shopping travel dining_rewards online_cashback travel ICICI Bank
SBI Cashback,travel_points,accelerated_rewards,4.27,luxury,SBI,7395,SBI Cashback,credit_card,7395.0,SBI Cashback travel_points accelerated_rewards luxury SBI 4.27 annual fee 7395,cashback points premium_fee travel,SBI Cashback travel_points accelerated_rewards luxury SBI 4.27 annual fee 7395 cashback points premium_fee travel travel_points accelerated_rewards luxury SBI
Canara Elite,cashback,online_cashback,1.7,fuel,Canara Bank,1287,Canara Elite,credit_card,1287.0,Canara Elite cashback online_cashback fuel Canara Bank 1.7 annual fee 1287,cashback fuel premium_fee shopping,Canara Elite cashback online_cashback fuel Canara Bank 1.7 annual fee 1287 cashback fuel premium_fee shopping cashback online_cashback fuel Canara Bank
SBI SimplyCLICK 1,dining_rewards,concierge_service,3.21,shopping,SBI,4277,SBI SimplyCLICK 1,credit_card,4277.0,SBI SimplyCLICK 1 dining_rewards concierge_service shopping SBI 3.21 annual fee 4277,discounts premium_fee shopping,SBI SimplyCLICK 1 dining_rewards concierge_service shopping SBI 3.21 annual fee 4277 discounts premium_fee shopping dining_rewards concierge_service shopping SBI
Yes Elite 1,dining_rewards,welcome_bonus,2.73,travel,Yes Bank,3438,Yes Elite 1,credit_card,3438.0,Yes Elite 1 dining_rewards welcome_bonus travel Yes Bank 2.73 annual fee 3438,discounts premium_fee travel,Yes Elite 1 dining_rewards welcome_bonus travel Yes Bank 2.73 annual fee 3438 discounts premium_fee travel dining_rewards welcome_bonus travel Yes Bank
